applicant_id,name,gender,age,country,city,pincode,region,latitude,longitude,caste,ethnicity,education,university_tier,department,years_experience,salary_history,career_gap_months,skills_score,interview_score,references_quality,hired
APP-1025,Applicant_1025,Male,32,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,Hispanic,Master's,Community College,Product,5,7765402,0,63,73,Weak,1
APP-1026,Applicant_1026,Male,40,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,White,Master's,Oxford,HR,16,6875715,0,62,76,Average,1
APP-1027,Applicant_1027,Female,32,Australia,Sydney,2000,New South Wales,-33.8688,151.2093,N/A,Mixed,Bachelor's,Cambridge,Operations,9,4421916,19,91,51,Average,1
APP-1028,Applicant_1028,Male,26,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,General,N/A,Bachelor's,NIT Trichy,Engineering,3,1251097,0,89,51,Strong,0
APP-1029,Applicant_1029,Male,22,United Kingdom,Edinburgh,EH1,Scotland,55.9533,-3.1883,N/A,White,MBA,Regional University,Product,0,5886042,0,58,50,Average,1
APP-1030,Applicant_1030,Female,26,United States,Chicago,60601,Illinois,41.8781,-87.6298,N/A,Asian,Master's,Cambridge,Sales,3,6095691,3,71,78,Strong,1
APP-1031,Applicant_1031,Male,42,India,Bengaluru,560001,Karnataka,12.9716,77.5946,General,N/A,Bachelor's,BITS Pilani,HR,20,3129265,0,76,67,Weak,1
APP-1032,Applicant_1032,Female,34,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,White,Bachelor's,Technical Institute,Operations,8,5474200,0,56,43,Average,1
APP-1033,Applicant_1033,Male,25,UAE,Dubai,00000,Dubai,25.2048,55.2708,N/A,White,Bachelor's,Regional University,Finance,2,3403612,0,57,67,Average,1
APP-1034,Applicant_1034,Female,41,Germany,Munich,80331,Bavaria,48.1351,11.582,N/A,White,MBA,Technical Institute,Engineering,19,6865848,0,55,46,Strong,1
APP-1035,Applicant_1035,Female,30,India,Bengaluru,560001,Karnataka,12.9716,77.5946,OBC,N/A,MBA,Anna University,Product,3,1130520,0,53,74,Average,0
APP-1036,Applicant_1036,Male,22,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,Black,Bachelor's,Oxford,Marketing,0,6236631,0,59,45,Average,1
APP-1037,Applicant_1037,Male,33,India,Ahmedabad,380001,Gujarat,23.0225,72.5714,SC,N/A,High School,State University,Marketing,8,1477619,0,65,58,Average,0
APP-1038,Applicant_1038,Female,36,United Kingdom,Edinburgh,EH1,Scotland,55.9533,-3.1883,N/A,White,Master's,Oxford,Marketing,12,5682310,0,63,57,Weak,1
APP-1039,Applicant_1039,Female,26,India,Kochi,682001,Kerala,9.9312,76.2673,OBC,N/A,High School,BITS Pilani,Marketing,0,629374,0,96,67,Average,1
APP-1040,Applicant_1040,Male,44,India,Pune,411001,Maharashtra,18.5204,73.8567,OBC,N/A,PhD,DU,Product,19,4247754,0,58,81,Strong,1
APP-1041,Applicant_1041,Male,42,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,General,N/A,Master's,State University,Data Science,19,3862013,0,82,55,Strong,1
APP-1042,Applicant_1042,Female,33,India,Bengaluru,560001,Karnataka,12.9716,77.5946,General,N/A,Bachelor's,IIT Bombay,Engineering,9,1621623,19,71,65,Average,0
APP-1043,Applicant_1043,Female,43,India,Mumbai,400001,Maharashtra,19.076,72.8777,General,N/A,Bachelor's,IIT Delhi,Engineering,18,2495408,0,63,66,Average,0
APP-1044,Applicant_1044,Male,45,India,Ahmedabad,380001,Gujarat,23.0225,72.5714,General,N/A,MBA,VTU,HR,21,3828926,0,50,52,Weak,1
APP-1045,Applicant_1045,Female,37,India,Patna,800001,Bihar,25.5941,85.1376,General,N/A,Bachelor's,Regional College,Sales,15,2176138,13,77,62,Strong,1
APP-1046,Applicant_1046,Male,22,India,Kochi,682001,Kerala,9.9312,76.2673,ST,N/A,Bachelor's,BITS Pilani,Finance,0,757668,2,75,49,Weak,0
APP-1047,Applicant_1047,Male,43,United States,Seattle,98101,Washington,47.6062,-122.3321,N/A,Asian,MBA,MIT,HR,21,10703574,0,63,73,Average,1
APP-1048,Applicant_1048,Female,35,United States,New York,10001,New York,40.7128,-74.006,N/A,White,Bachelor's,Technical Institute,Sales,10,5814049,0,63,65,Average,1
APP-1049,Applicant_1049,Male,27,India,Bengaluru,560001,Karnataka,12.9716,77.5946,ST,N/A,High School,IIT Delhi,Product,2,777966,0,79,79,Weak,1
APP-1050,Applicant_1050,Male,23,India,Ahmedabad,380001,Gujarat,23.0225,72.5714,General,N/A,MBA,BITS Pilani,Data Science,1,1114867,0,48,72,Strong,0
APP-1051,Applicant_1051,Female,34,United Kingdom,Manchester,M1,England,53.4808,-2.2426,N/A,White,Bachelor's,Stanford,Sales,11,5184433,13,72,57,Weak,1
APP-1052,Applicant_1052,Male,34,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,Asian,Bachelor's,Community College,Product,10,7825317,0,75,56,Strong,1
APP-1053,Applicant_1053,Female,26,UAE,Abu Dhabi,00000,Abu Dhabi,24.4539,54.3773,N/A,Mixed,Bachelor's,State University,Operations,1,2978942,0,75,72,Average,1
APP-1054,Applicant_1054,Female,28,Australia,Melbourne,3000,Victoria,-37.8136,144.9631,N/A,Asian,High School,Technical Institute,Product,5,4704773,0,53,59,Average,1
APP-1055,Applicant_1055,Female,28,India,Jaipur,302001,Rajasthan,26.9124,75.7873,General,N/A,PhD,DU,HR,1,1143526,0,89,54,Strong,0
APP-1056,Applicant_1056,Female,35,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,White,Bachelor's,Stanford,Sales,8,3403377,14,73,55,Average,1
APP-1057,Applicant_1057,Female,39,United States,Chicago,60601,Illinois,41.8781,-87.6298,N/A,White,Master's,Harvard,Operations,14,7198449,4,88,74,Average,1
APP-1058,Applicant_1058,Female,29,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,White,Master's,Cambridge,Operations,4,7242721,16,52,57,Strong,1
APP-1059,Applicant_1059,Male,46,India,Mumbai,400001,Maharashtra,19.076,72.8777,OBC,N/A,Master's,Osmania University,Operations,20,3944922,0,56,61,Average,1
APP-1060,Applicant_1060,Female,23,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,Asian,High School,State University,Finance,0,2645358,0,73,73,Weak,1
APP-1061,Applicant_1061,Female,34,United States,Seattle,98101,Washington,47.6062,-122.3321,N/A,Asian,Master's,State University,Marketing,7,6175012,0,97,57,Weak,1
APP-1062,Applicant_1062,Male,24,India,Kochi,682001,Kerala,9.9312,76.2673,General,N/A,Master's,IIT Delhi,Sales,0,934768,0,68,76,Average,1
APP-1063,Applicant_1063,Male,22,United Kingdom,Edinburgh,EH1,Scotland,55.9533,-3.1883,N/A,Mixed,Master's,Stanford,Sales,0,5842138,0,45,59,Weak,1
APP-1064,Applicant_1064,Male,37,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,Asian,Bachelor's,State University,HR,12,7569962,0,86,53,Average,1
APP-1065,Applicant_1065,Male,32,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,Asian,Master's,Stanford,Product,8,5399596,0,60,57,Strong,1
APP-1066,Applicant_1066,Female,41,Canada,Vancouver,V6B,British Columbia,49.2827,-123.1207,N/A,Black,High School,State University,Operations,19,6229940,21,72,71,Strong,1
APP-1067,Applicant_1067,Female,37,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,Asian,Master's,Stanford,Engineering,14,4782663,0,63,71,Average,1
APP-1068,Applicant_1068,Female,35,Germany,Munich,80331,Bavaria,48.1351,11.582,N/A,Mixed,Bachelor's,Technical Institute,Operations,10,4480664,0,53,58,Strong,1
APP-1069,Applicant_1069,Female,32,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,White,PhD,Harvard,Marketing,6,7630199,0,54,52,Average,1
APP-1070,Applicant_1070,Female,42,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,OBC,N/A,Bachelor's,BITS Pilani,HR,17,2280423,7,65,73,Strong,1
APP-1071,Applicant_1071,Female,36,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,White,PhD,Technical Institute,Engineering,13,5972091,7,64,45,Weak,1
APP-1072,Applicant_1072,Male,43,UAE,Abu Dhabi,00000,Abu Dhabi,24.4539,54.3773,N/A,White,Master's,Regional University,Operations,20,7571741,0,63,62,Strong,1
APP-1073,Applicant_1073,Female,41,United States,New York,10001,New York,40.7128,-74.006,N/A,Hispanic,PhD,MIT,Finance,17,9789029,8,72,59,Average,1
APP-1074,Applicant_1074,Female,22,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,Mixed,Master's,State University,Marketing,0,5762123,0,75,68,Average,1
APP-1075,Applicant_1075,Male,35,United States,Seattle,98101,Washington,47.6062,-122.3321,N/A,White,Bachelor's,Regional University,Data Science,11,6654491,0,62,63,Strong,1
APP-1076,Applicant_1076,Female,34,India,Kolkata,700001,West Bengal,22.5726,88.3639,SC,N/A,Bachelor's,State University,HR,12,1591829,0,72,55,Average,1
APP-1077,Applicant_1077,Male,32,India,Pune,411001,Maharashtra,18.5204,73.8567,General,N/A,Bachelor's,Osmania University,Finance,10,2120528,0,54,78,Strong,0
APP-1078,Applicant_1078,Male,22,India,Lucknow,226001,Uttar Pradesh,26.8467,80.9462,General,N/A,Bachelor's,Osmania University,Operations,0,773290,0,62,64,Average,0
APP-1079,Applicant_1079,Female,35,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,OBC,N/A,Bachelor's,NIT Trichy,Marketing,9,1578029,0,78,69,Average,0
APP-1080,Applicant_1080,Male,26,India,Patna,800001,Bihar,25.5941,85.1376,General,N/A,MBA,State University,Sales,4,1576361,0,58,58,Strong,1
APP-1081,Applicant_1081,Female,49,India,Hyderabad,500001,Telangana,17.385,78.4867,General,N/A,Bachelor's,VTU,Engineering,24,3206440,0,83,53,Average,0
APP-1082,Applicant_1082,Female,35,Australia,Sydney,2000,New South Wales,-33.8688,151.2093,N/A,White,Master's,Regional University,Sales,8,5538612,13,50,83,Average,1
APP-1083,Applicant_1083,Male,44,United Kingdom,London,EC1A,England,51.5074,-0.1278,N/A,Hispanic,Master's,Harvard,Product,17,7191125,0,82,73,Average,1
APP-1084,Applicant_1084,Female,31,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,OBC,N/A,Bachelor's,Osmania University,Finance,4,1146362,0,48,63,Average,1
APP-1085,Applicant_1085,Male,43,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,OBC,N/A,Bachelor's,IIT Delhi,Data Science,20,3420434,0,64,67,Weak,1
APP-1086,Applicant_1086,Female,22,India,Kochi,682001,Kerala,9.9312,76.2673,ST,N/A,Bachelor's,NIT Trichy,Finance,0,516360,0,90,63,Average,0
APP-1087,Applicant_1087,Male,30,Australia,Sydney,2000,New South Wales,-33.8688,151.2093,N/A,Asian,MBA,Community College,HR,6,6848140,0,52,67,Strong,1
APP-1088,Applicant_1088,Female,30,Canada,Toronto,M5H,Ontario,43.6532,-79.3832,N/A,Hispanic,Bachelor's,Cambridge,Sales,7,4275830,11,82,37,Average,1
APP-1089,Applicant_1089,Female,33,India,Pune,411001,Maharashtra,18.5204,73.8567,General,N/A,PhD,NIT Trichy,Engineering,10,2405101,0,72,56,Weak,1
APP-1090,Applicant_1090,Male,26,India,Bengaluru,560001,Karnataka,12.9716,77.5946,General,N/A,Master's,Anna University,Marketing,3,1266093,0,74,52,Strong,0
APP-1091,Applicant_1091,Male,33,United States,New York,10001,New York,40.7128,-74.006,N/A,White,PhD,Community College,Finance,10,10411372,0,57,69,Average,1
APP-1092,Applicant_1092,Male,34,UAE,Dubai,00000,Dubai,25.2048,55.2708,N/A,Asian,High School,Community College,Product,7,4126168,1,56,81,Average,1
APP-1093,Applicant_1093,Female,44,Germany,Munich,80331,Bavaria,48.1351,11.582,N/A,Asian,MBA,Regional University,Finance,17,6109642,0,75,62,Weak,1
APP-1094,Applicant_1094,Female,37,India,Pune,411001,Maharashtra,18.5204,73.8567,OBC,N/A,High School,BITS Pilani,Data Science,10,1715487,0,80,74,Average,0
APP-1095,Applicant_1095,Female,32,India,Bengaluru,560001,Karnataka,12.9716,77.5946,OBC,N/A,Bachelor's,Regional College,Marketing,5,1259758,13,56,67,Strong,0
APP-1096,Applicant_1096,Female,37,Germany,Berlin,10115,Berlin,52.52,13.405,N/A,Mixed,MBA,State University,HR,15,6667666,6,55,78,Strong,1
APP-1097,Applicant_1097,Male,39,Canada,Vancouver,V6B,British Columbia,49.2827,-123.1207,N/A,Mixed,PhD,MIT,Finance,14,8961848,0,77,50,Average,1
APP-1098,Applicant_1098,Female,44,India,Patna,800001,Bihar,25.5941,85.1376,OBC,N/A,Bachelor's,NIT Trichy,Sales,22,3078675,12,67,61,Strong,0
APP-1099,Applicant_1099,Female,40,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,Asian,Bachelor's,State University,Product,13,6443363,13,56,81,Strong,1
APP-1100,Applicant_1100,Female,24,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,OBC,N/A,MBA,Osmania University,Product,2,1125047,0,74,63,Weak,0
APP-1101,Applicant_1101,Female,39,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,White,MBA,Technical Institute,Product,14,7775010,0,79,68,Weak,1
APP-1102,Applicant_1102,Female,30,India,Bengaluru,560001,Karnataka,12.9716,77.5946,General,N/A,Bachelor's,BITS Pilani,Product,6,1320186,6,69,85,Strong,0
APP-1103,Applicant_1103,Female,26,United Kingdom,London,EC1A,England,51.5074,-0.1278,N/A,Asian,PhD,MIT,Engineering,0,5405016,0,59,68,Average,1
APP-1104,Applicant_1104,Female,40,United States,Seattle,98101,Washington,47.6062,-122.3321,N/A,Asian,Master's,Community College,Data Science,13,7727370,17,59,69,Strong,1
APP-1105,Applicant_1105,Male,39,India,Chandigarh,160001,Punjab,30.7333,76.7794,SC,N/A,Bachelor's,BITS Pilani,Sales,15,2142042,0,68,92,Average,0
APP-1106,Applicant_1106,Male,41,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,Black,Bachelor's,Technical Institute,Sales,16,5418655,0,100,69,Average,1
APP-1107,Applicant_1107,Male,43,India,Hyderabad,500001,Telangana,17.385,78.4867,General,N/A,Master's,IIT Bombay,Marketing,17,3360920,0,75,62,Strong,1
APP-1108,Applicant_1108,Male,22,United States,Austin,73301,Texas,30.2672,-97.7431,N/A,Hispanic,Bachelor's,Technical Institute,Sales,0,6317284,0,92,63,Strong,0
APP-1109,Applicant_1109,Male,27,India,Kochi,682001,Kerala,9.9312,76.2673,General,N/A,Master's,DU,HR,1,1104017,2,64,60,Average,1
APP-1110,Applicant_1110,Male,22,Canada,Toronto,M5H,Ontario,43.6532,-79.3832,N/A,Mixed,Bachelor's,Cambridge,Product,0,4506583,0,50,65,Average,1
APP-1111,Applicant_1111,Male,22,India,Delhi,110001,Delhi,28.7041,77.1025,General,N/A,MBA,VTU,Operations,0,1002508,0,56,73,Average,0
APP-1112,Applicant_1112,Male,44,India,Patna,800001,Bihar,25.5941,85.1376,General,N/A,Bachelor's,IIT Bombay,Sales,21,3196291,0,64,53,Average,0
APP-1113,Applicant_1113,Female,24,Canada,Toronto,M5H,Ontario,43.6532,-79.3832,N/A,Asian,Bachelor's,Harvard,Sales,0,3757074,0,67,72,Average,1
APP-1114,Applicant_1114,Female,22,United States,Austin,73301,Texas,30.2672,-97.7431,N/A,Hispanic,Master's,Cambridge,Operations,0,6049939,0,37,53,Strong,1
APP-1115,Applicant_1115,Male,48,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,Hispanic,High School,Stanford,Product,24,9633041,0,62,70,Strong,1
APP-1116,Applicant_1116,Male,49,India,Delhi,110001,Delhi,28.7041,77.1025,OBC,N/A,High School,DU,Operations,22,3534905,8,61,76,Average,1
APP-1117,Applicant_1117,Male,25,UAE,Dubai,00000,Dubai,25.2048,55.2708,N/A,Asian,MBA,Oxford,Data Science,0,4049780,0,44,69,Average,1
APP-1118,Applicant_1118,Female,33,Germany,Berlin,10115,Berlin,52.52,13.405,N/A,White,Bachelor's,Community College,Sales,11,4868125,0,82,71,Strong,0
APP-1119,Applicant_1119,Female,38,India,Patna,800001,Bihar,25.5941,85.1376,General,N/A,Master's,IIT Delhi,Product,15,2458856,9,64,74,Average,0
APP-1120,Applicant_1120,Male,35,India,Chandigarh,160001,Punjab,30.7333,76.7794,ST,N/A,PhD,Regional College,Marketing,13,2459878,0,70,74,Weak,0
APP-1121,Applicant_1121,Male,34,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,OBC,N/A,High School,IIT Delhi,Sales,7,1576632,0,84,39,Average,1
APP-1122,Applicant_1122,Female,34,India,Nagpur,440001,Maharashtra,21.1458,79.0882,SC,N/A,Master's,NIT Trichy,Sales,11,1845111,21,91,59,Weak,0
APP-1123,Applicant_1123,Female,27,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,White,High School,Technical Institute,Operations,1,4732660,0,67,57,Average,1
APP-1124,Applicant_1124,Male,34,Canada,Vancouver,V6B,British Columbia,49.2827,-123.1207,N/A,Asian,Bachelor's,Community College,Sales,8,5529791,0,63,55,Strong,1
APP-1125,Applicant_1125,Female,42,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,General,N/A,High School,State University,Engineering,20,2413636,24,73,83,Strong,0
APP-1126,Applicant_1126,Male,33,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,White,Bachelor's,State University,Marketing,6,6287868,0,46,61,Strong,1
APP-1127,Applicant_1127,Female,30,India,Kolkata,700001,West Bengal,22.5726,88.3639,ST,N/A,Master's,State University,Product,7,1348212,6,53,42,Strong,0
APP-1128,Applicant_1128,Male,41,United States,New York,10001,New York,40.7128,-74.006,N/A,White,Bachelor's,Oxford,Operations,16,8322946,0,100,94,Strong,1
APP-1129,Applicant_1129,Male,33,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,Black,Bachelor's,Cambridge,Engineering,9,7160312,0,77,64,Average,1
APP-1130,Applicant_1130,Male,30,India,Hyderabad,500001,Telangana,17.385,78.4867,SC,N/A,Bachelor's,NIT Trichy,Data Science,5,1261800,0,77,56,Weak,0
APP-1131,Applicant_1131,Female,30,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,Mixed,Bachelor's,State University,Marketing,5,5826285,16,77,53,Strong,1
APP-1132,Applicant_1132,Male,25,Germany,Hamburg,20095,Hamburg,53.5753,10.0153,N/A,Asian,Master's,Cambridge,Engineering,1,5224452,0,68,45,Average,1
APP-1133,Applicant_1133,Male,43,United Kingdom,Manchester,M1,England,53.4808,-2.2426,N/A,Hispanic,Bachelor's,Technical Institute,Product,18,6404818,0,60,74,Average,1
APP-1134,Applicant_1134,Male,28,Germany,Munich,80331,Bavaria,48.1351,11.582,N/A,Mixed,PhD,MIT,Operations,3,7132296,5,88,58,Average,1
APP-1135,Applicant_1135,Male,23,India,Pune,411001,Maharashtra,18.5204,73.8567,SC,N/A,Master's,State University,Sales,0,850744,0,70,62,Average,0
APP-1136,Applicant_1136,Female,25,India,Mumbai,400001,Maharashtra,19.076,72.8777,General,N/A,High School,NIT Trichy,Operations,0,585000,0,64,71,Average,0
APP-1137,Applicant_1137,Male,45,United States,Detroit,48201,Michigan,42.3314,-83.0458,N/A,White,High School,Cambridge,Data Science,19,7480388,0,70,55,Weak,1
APP-1138,Applicant_1138,Male,22,India,Bengaluru,560001,Karnataka,12.9716,77.5946,OBC,N/A,Master's,Anna University,HR,0,879171,0,59,67,Average,1
APP-1139,Applicant_1139,Male,41,Australia,Sydney,2000,New South Wales,-33.8688,151.2093,N/A,Asian,High School,MIT,Finance,14,5664200,0,78,58,Weak,0
APP-1140,Applicant_1140,Male,29,Canada,Toronto,M5H,Ontario,43.6532,-79.3832,N/A,Black,MBA,MIT,Marketing,5,6345740,0,48,60,Strong,1
APP-1141,Applicant_1141,Female,35,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,ST,N/A,Bachelor's,NIT Trichy,Operations,11,1608736,0,46,59,Weak,1
APP-1142,Applicant_1142,Male,22,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,White,PhD,Cambridge,Sales,0,8384213,0,84,60,Average,1
APP-1143,Applicant_1143,Female,38,India,Lucknow,226001,Uttar Pradesh,26.8467,80.9462,General,N/A,Master's,Regional College,Finance,15,2544453,4,47,76,Strong,1
APP-1144,Applicant_1144,Female,31,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,White,Bachelor's,Technical Institute,Marketing,7,6027078,4,65,71,Weak,0
APP-1145,Applicant_1145,Male,38,United States,Chicago,60601,Illinois,41.8781,-87.6298,N/A,Hispanic,MBA,Stanford,Finance,15,9237713,0,80,60,Strong,1
APP-1146,Applicant_1146,Female,35,United Kingdom,Manchester,M1,England,53.4808,-2.2426,N/A,White,Bachelor's,MIT,HR,11,4826923,0,56,89,Weak,1
APP-1147,Applicant_1147,Male,30,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,ST,N/A,PhD,State University,Operations,6,1666468,0,71,46,Weak,1
APP-1148,Applicant_1148,Female,48,Germany,Berlin,10115,Berlin,52.52,13.405,N/A,Black,MBA,Stanford,HR,24,6906874,12,57,50,Strong,0
APP-1149,Applicant_1149,Male,22,United States,Atlanta,30301,Georgia,33.749,-84.388,N/A,Mixed,Bachelor's,Oxford,Product,0,5599606,0,62,49,Average,1
APP-1150,Applicant_1150,Male,30,India,Kochi,682001,Kerala,9.9312,76.2673,General,N/A,High School,Anna University,Operations,8,1763758,0,52,57,Average,1
APP-1151,Applicant_1151,Female,33,Germany,Hamburg,20095,Hamburg,53.5753,10.0153,N/A,White,Master's,Stanford,Marketing,8,5858575,14,72,59,Strong,1
APP-1152,Applicant_1152,Male,36,Germany,Munich,80331,Bavaria,48.1351,11.582,N/A,White,Master's,Stanford,Engineering,14,7933903,0,66,58,Weak,1
APP-1153,Applicant_1153,Male,22,India,Bengaluru,560001,Karnataka,12.9716,77.5946,OBC,N/A,Bachelor's,NIT Trichy,Finance,0,822476,0,56,81,Strong,0
APP-1154,Applicant_1154,Male,37,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,OBC,N/A,Master's,IIT Delhi,Marketing,10,2543761,0,63,70,Strong,1
APP-1155,Applicant_1155,Male,26,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,Mixed,PhD,Harvard,Data Science,1,9285454,0,57,60,Strong,1
APP-1156,Applicant_1156,Male,28,India,Bengaluru,560001,Karnataka,12.9716,77.5946,ST,N/A,Bachelor's,Regional College,HR,2,856994,0,30,24,Average,0
APP-1157,Applicant_1157,Male,48,India,Jaipur,302001,Rajasthan,26.9124,75.7873,General,N/A,Bachelor's,Regional College,Sales,25,3730942,0,42,58,Average,0
APP-1158,Applicant_1158,Female,36,India,Mumbai,400001,Maharashtra,19.076,72.8777,OBC,N/A,Master's,State University,Sales,13,2167354,21,76,49,Average,0
APP-1159,Applicant_1159,Female,33,India,Pune,411001,Maharashtra,18.5204,73.8567,OBC,N/A,Master's,State University,Data Science,11,2194883,7,48,70,Average,0
APP-1160,Applicant_1160,Female,29,United Kingdom,Edinburgh,EH1,Scotland,55.9533,-3.1883,N/A,Asian,Master's,MIT,Product,6,5286459,13,67,77,Weak,1
APP-1161,Applicant_1161,Male,56,India,Kochi,682001,Kerala,9.9312,76.2673,General,N/A,Bachelor's,NIT Trichy,Product,33,5072714,0,47,49,Strong,1
